timestamp,source_ip,dest_ip,source_port,dest_port,function_code,address,value,packet_size,response_time_ms,protocol_version,transaction_id,label,attack_type
2025-01-01 10:28:16.957782,192.168.1.11,192.168.1.100,502,502,3,1033,103,117,13.428304375145697,0,12629,normal,none
2025-01-02 07:25:39.201290,192.168.1.10,192.168.1.100,502,502,6,1282,51,100,19.142876764346266,0,37731,normal,none
2025-01-02 09:17:51.544126,192.168.1.10,192.168.1.100,502,502,4,2560,105,132,10.0,0,39992,normal,none
2025-01-01 07:03:02.585820,192.168.1.11,192.168.1.102,502,502,3,3387,85,119,29.40702324195034,0,8526,normal,none
2025-01-01 06:50:53.853632,192.168.1.12,192.168.1.101,502,502,2,3467,133,96,88.09729952651173,0,8280,normal,none
2025-01-02 00:01:41.200000,10.0.0.99,192.168.1.100,29622,502,15,46,51074,114,8.826300691002432,0,1012,attack,command_injection
2025-01-01 12:20:14.635738,192.168.1.12,192.168.1.101,502,502,4,2801,108,66,10.0,0,14872,normal,none
2025-01-01 12:32:34.719164,192.168.1.11,192.168.1.100,502,502,3,1777,99,68,36.26397076223342,0,15128,normal,none
2025-01-01 07:45:02.345224,192.168.1.11,192.168.1.100,502,502,3,1319,106,96,14.138778224733084,0,9367,normal,none
2025-01-02 03:45:45.411553,192.168.1.12,192.168.1.100,502,502,3,4223,99,113,56.83945394628069,0,33323,normal,none
2025-01-03 00:14:50.000000,192.168.1.100,192.168.1.10,502,10419,3,1411,65535,144,92.15490413757989,0,890,attack,response_manipulation
2025-01-01 18:10:50.900731,192.168.1.11,192.168.1.101,502,502,4,4320,94,113,13.128162053169866,0,21820,normal,none
2025-01-01 04:10:19.557879,192.168.1.10,192.168.1.100,502,502,2,2741,96,101,46.30266557361676,0,5027,normal,none
2025-01-01 19:33:21.668641,192.168.1.11,192.168.1.100,502,502,3,4991,86,82,10.0,0,23429,normal,none
2025-01-02 13:43:14.596475,192.168.1.11,192.168.1.102,502,502,2,4997,81,92,14.498699015618078,0,45298,normal,none
2025-01-01 21:59:26.700794,192.168.1.12,192.168.1.100,502,502,3,3570,66,87,89.35244689679047,0,26355,normal,none
2025-01-02 01:08:54.832690,192.168.1.11,192.168.1.101,502,502,1,2348,109,132,43.98763128556277,0,30196,normal,none
2025-01-02 15:09:24.784098,192.168.1.12,192.168.1.101,502,502,3,3710,69,131,51.81177154165819,0,47039,normal,none
2025-01-01 17:16:00.779530,192.168.1.12,192.168.1.101,502,502,4,4565,124,100,57.471784871657796,0,20732,normal,none
2025-01-02 04:21:46.430903,192.168.1.10,192.168.1.102,502,502,3,3329,70,125,90.57978027369671,0,34048,normal,none
2025-01-01 21:45:01.628387,192.168.1.12,192.168.1.101,502,502,3,2489,112,93,10.0,0,26065,normal,none
2025-01-02 11:22:08.849658,192.168.1.12,192.168.1.101,502,502,3,3549,90,60,61.50511892303538,0,42470,normal,none
